GENESIS-Tabelle: 21111-9k21
Kommunalprofil: Schulen, Schüler/-innen,;;;;;;;;;;;;;;;;;;
Schulabgänger/-innen und Lehrkräfte an allgemeinbildende;;;;;;;;;;;;;;;;;;
Schulen;;;;;;;;;;;;;;;;;;
Statistik der allgemeinbildenden Schulen;;;;;;;;;;;;;;;;;;
;;;;;Schulform;Schulform;Schulform;Schulform;Schulform;Schulform;Schulform;Schulform;Schulform;Schulform;Schulform;Schulform;Schulform;Schulform
;;;;;Insgesamt;Grundschulen;Hauptschulen;Volksschulen;Förderschulen Grund-/Hauptschulen;Förderschulen Realschulen/Gymnasien;Realschulen;PRIMUS-Schulen;Sekundarschulen;Gesamtschulen;Gemeinschaftsschulen;Freie Waldorfschulen;Gymnasien;Weiterbildungskollegs
      Hürtgenwald;2019/20;Schulabgänger/-innen;Insgesamt;Anzahl;90;-;-;-;-;-;-;-;-;-;-;-;90;-
      Hürtgenwald;2018/19;Schulabgänger/-innen;Insgesamt;Anzahl;70;-;-;-;-;-;-;-;-;-;-;-;70;-
      Hürtgenwald;2017/18;Schulabgänger/-innen;Insgesamt;Anzahl;130;-;25;-;-;-;30;-;-;-;-;-;75;-
      Hürtgenwald;2016/17;Schulabgänger/-innen;Insgesamt;Anzahl;176;-;31;-;-;-;44;-;-;-;-;-;101;-
      Hürtgenwald;2015/16;Schulabgänger/-innen;Insgesamt;Anzahl;151;-;30;-;-;-;45;-;-;-;-;-;76;-
      Hürtgenwald;2014/15;Schulabgänger/-innen;Insgesamt;Anzahl;168;-;25;-;-;-;47;-;-;-;-;-;96;-
      Hürtgenwald;2013/14;Schulabgänger/-innen;Insgesamt;Anzahl;176;-;44;-;-;-;74;-;-;-;-;-;58;-
      Hürtgenwald;2012/13;Schulabgänger/-innen;Insgesamt;Anzahl;228;-;48;-;-;-;63;-;-;-;-;-;117;-
      Hürtgenwald;2011/12;Schulabgänger/-innen;Insgesamt;Anzahl;156;-;30;-;-;-;56;-;-;-;-;-;70;-
      Hürtgenwald;2010/11;Schulabgänger/-innen;Insgesamt;Anzahl;147;-;37;-;-;-;50;-;-;-;-;-;60;-
      Hürtgenwald;2009/10;Schulabgänger/-innen;Insgesamt;Anzahl;160;-;39;-;-;-;49;-;-;-;-;-;72;-
      Hürtgenwald;2008/09;Schulabgänger/-innen;Insgesamt;Anzahl;172;-;50;-;-;-;53;-;-;-;-;-;69;-
      Hürtgenwald;2007/08;Schulabgänger/-innen;Insgesamt;Anzahl;153;-;37;-;-;-;41;-;-;-;-;-;75;-
      Hürtgenwald;2006/07;Schulabgänger/-innen;Insgesamt;Anzahl;175;-;46;-;-;-;59;-;-;-;-;-;70;-
      Hürtgenwald;2005/06;Schulabgänger/-innen;Insgesamt;Anzahl;155;-;41;-;-;-;52;-;-;-;-;-;62;-
      Hürtgenwald;2004/05;Schulabgänger/-innen;Insgesamt;Anzahl;120;-;28;-;-;-;38;-;-;-;-;-;54;-
      Hürtgenwald;2022/23;Lehrkräfte;Insgesamt;Anzahl;65;25;-;-;-;-;-;-;-;-;-;-;40;-
      Hürtgenwald;2021/22;Lehrkräfte;Insgesamt;Anzahl;75;30;-;-;-;-;-;-;-;-;-;-;45;-
      Hürtgenwald;2020/21;Lehrkräfte;Insgesamt;Anzahl;75;25;-;-;-;-;-;-;-;-;-;-;45;-
      Hürtgenwald;2019/20;Lehrkräfte;Insgesamt;Anzahl;75;30;-;-;-;-;-;-;-;-;-;-;50;-
      Hürtgenwald;2018/19;Lehrkräfte;Insgesamt;Anzahl;70;25;-;-;-;-;-;-;-;-;-;-;50;-
      Hürtgenwald;2017/18;Lehrkräfte;Insgesamt;Anzahl;82;22;4;-;-;-;6;-;-;-;-;-;50;-
      Hürtgenwald;2016/17;Lehrkräfte;Insgesamt;Anzahl;83;21;6;-;-;-;5;-;-;-;-;-;51;-
      Hürtgenwald;2015/16;Lehrkräfte;Insgesamt;Anzahl;82;19;6;-;-;-;9;-;-;-;-;-;48;-
      Hürtgenwald;2014/15;Lehrkräfte;Insgesamt;Anzahl;94;20;10;-;-;-;13;-;-;-;-;-;51;-
      Hürtgenwald;2013/14;Lehrkräfte;Insgesamt;Anzahl;102;22;12;-;-;-;20;-;-;-;-;-;48;-
      Hürtgenwald;2012/13;Lehrkräfte;Insgesamt;Anzahl;113;22;14;-;-;-;17;-;-;-;-;-;60;-
      Hürtgenwald;2011/12;Lehrkräfte;Insgesamt;Anzahl;110;22;15;-;-;-;19;-;-;-;-;-;54;-
      Hürtgenwald;2010/11;Lehrkräfte;Insgesamt;Anzahl;107;27;14;-;-;-;19;-;-;-;-;-;47;-
      Hürtgenwald;2009/10;Lehrkräfte;Insgesamt;Anzahl;99;26;15;-;-;-;17;-;-;-;-;-;41;-
      Hürtgenwald;2008/09;Lehrkräfte;Insgesamt;Anzahl;100;25;15;-;-;-;19;-;-;-;-;-;41;-
      Hürtgenwald;2007/08;Lehrkräfte;Insgesamt;Anzahl;100;26;15;-;-;-;17;-;-;-;-;-;42;-
      Hürtgenwald;2006/07;Lehrkräfte;Insgesamt;Anzahl;96;26;15;-;-;-;16;-;-;-;-;-;39;-
      Hürtgenwald;2005/06;Lehrkräfte;Insgesamt;Anzahl;94;23;17;-;-;-;15;-;-;-;-;-;39;-
      Inden;2022/23;Schulen;Insgesamt;Anzahl;2;1;1;-;-;-;-;-;-;-;-;-;-;-
      Inden;2021/22;Schulen;Insgesamt;Anzahl;2;1;1;-;-;-;-;-;-;-;-;-;-;-
      Inden;2020/21;Schulen;Insgesamt;Anzahl;2;1;1;-;-;-;-;-;-;-;-;-;-;-
      Inden;2019/20;Schulen;Insgesamt;Anzahl;2;1;1;-;-;-;-;-;-;-;-;-;-;-
      Inden;2018/19;Schulen;Insgesamt;Anzahl;2;1;1;-;-;-;-;-;-;-;-;-;-;-
      Inden;2017/18;Schulen;Insgesamt;Anzahl;2;1;1;-;-;-;-;-;-;-;-;-;-;-
      Inden;2016/17;Schulen;Insgesamt;Anzahl;2;1;1;-;-;-;-;-;-;-;-;-;-;-
      Inden;2015/16;Schulen;Insgesamt;Anzahl;2;1;1;-;-;-;-;-;-;-;-;-;-;-
      Inden;2014/15;Schulen;Insgesamt;Anzahl;2;1;1;-;-;-;-;-;-;-;-;-;-;-
      Inden;2013/14;Schulen;Insgesamt;Anzahl;2;1;1;-;-;-;-;-;-;-;-;-;-;-
      Inden;2012/13;Schulen;Insgesamt;Anzahl;2;1;1;-;-;-;-;-;-;-;-;-;-;-
      Inden;2011/12;Schulen;Insgesamt;Anzahl;2;1;1;-;-;-;-;-;-;-;-;-;-;-
      Inden;2010/11;Schulen;Insgesamt;Anzahl;2;1;1;-;-;-;-;-;-;-;-;-;-;-
      Inden;2009/10;Schulen;Insgesamt;Anzahl;2;1;1;-;-;-;-;-;-;-;-;-;-;-
      Inden;2008/09;Schulen;Insgesamt;Anzahl;2;1;1;-;-;-;-;-;-;-;-;-;-;-
      Inden;2007/08;Schulen;Insgesamt;Anzahl;3;2;1;-;-;-;-;-;-;-;-;-;-;-
      Inden;2006/07;Schulen;Insgesamt;Anzahl;3;2;1;-;-;-;-;-;-;-;-;-;-;-
      Inden;2005/06;Schulen;Insgesamt;Anzahl;3;2;1;-;-;-;-;-;-;-;-;-;-;-
      Inden;2022/23;Schüler/-innen;Insgesamt;Anzahl;505;315;185;-;-;-;-;-;-;-;-;-;-;-
      Inden;2021/22;Schüler/-innen;Insgesamt;Anzahl;470;305;160;-;-;-;-;-;-;-;-;-;-;-
      Inden;2020/21;Schüler/-innen;Insgesamt;Anzahl;460;290;170;-;-;-;-;-;-;-;-;-;-;-
      Inden;2019/20;Schüler/-innen;Insgesamt;Anzahl;470;265;205;-;-;-;-;-;-;-;-;-;-;-
      Inden;2018/19;Schüler/-innen;Insgesamt;Anzahl;490;255;235;-;-;-;-;-;-;-;-;-;-;-
      Inden;2017/18;Schüler/-innen;Insgesamt;Anzahl;499;259;240;-;-;-;-;-;-;-;-;-;-;-
      Inden;2016/17;Schüler/-innen;Insgesamt;Anzahl;480;243;237;-;-;-;-;-;-;-;-;-;-;-
      Inden;2015/16;Schüler/-innen;Insgesamt;Anzahl;519;232;287;-;-;-;-;-;-;-;-;-;-;-
      Inden;2014/15;Schüler/-innen;Insgesamt;Anzahl;557;250;307;-;-;-;-;-;-;-;-;-;-;-
      Inden;2013/14;Schüler/-innen;Insgesamt;Anzahl;568;245;323;-;-;-;-;-;-;-;-;-;-;-
      Inden;2012/13;Schüler/-innen;Insgesamt;Anzahl;568;246;322;-;-;-;-;-;-;-;-;-;-;-
      Inden;2011/12;Schüler/-innen;Insgesamt;Anzahl;593;264;329;-;-;-;-;-;-;-;-;-;-;-
      Inden;2010/11;Schüler/-innen;Insgesamt;Anzahl;587;250;337;-;-;-;-;-;-;-;-;-;-;-
      Inden;2009/10;Schüler/-innen;Insgesamt;Anzahl;600;265;335;-;-;-;-;-;-;-;-;-;-;-
      Inden;2008/09;Schüler/-innen;Insgesamt;Anzahl;619;263;356;-;-;-;-;-;-;-;-;-;-;-
      Inden;2007/08;Schüler/-innen;Insgesamt;Anzahl;656;257;399;-;-;-;-;-;-;-;-;-;-;-
      Inden;2006/07;Schüler/-innen;Insgesamt;Anzahl;696;275;421;-;-;-;-;-;-;-;-;-;-;-
      Inden;2005/06;Schüler/-innen;Insgesamt;Anzahl;732;295;437;-;-;-;-;-;-;-;-;-;-;-
      Inden;2021/22;Schulabgänger/-innen;Insgesamt;Anzahl;20;-;20;-;-;-;-;-;-;-;-;-;-;-
      Inden;2020/21;Schulabgänger/-innen;Insgesamt;Anzahl;40;-;40;-;-;-;-;-;-;-;-;-;-;-
      Inden;2019/20;Schulabgänger/-innen;Insgesamt;Anzahl;45;-;45;-;-;-;-;-;-;-;-;-;-;-
      Inden;2018/19;Schulabgänger/-innen;Insgesamt;Anzahl;50;-;50;-;-;-;-;-;-;-;-;-;-;-
      Inden;2017/18;Schulabgänger/-innen;Insgesamt;Anzahl;40;-;40;-;-;-;-;-;-;-;-;-;-;-
      Inden;2016/17;Schulabgänger/-innen;Insgesamt;Anzahl;47;-;47;-;-;-;-;-;-;-;-;-;-;-
      Inden;2015/16;Schulabgänger/-innen;Insgesamt;Anzahl;65;-;65;-;-;-;-;-;-;-;-;-;-;-
      Inden;2014/15;Schulabgänger/-innen;Insgesamt;Anzahl;53;-;53;-;-;-;-;-;-;-;-;-;-;-
      Inden;2013/14;Schulabgänger/-innen;Insgesamt;Anzahl;73;-;73;-;-;-;-;-;-;-;-;-;-;-
      Inden;2012/13;Schulabgänger/-innen;Insgesamt;Anzahl;66;-;66;-;-;-;-;-;-;-;-;-;-;-
      Inden;2011/12;Schulabgänger/-innen;Insgesamt;Anzahl;64;-;64;-;-;-;-;-;-;-;-;-;-;-
      Inden;2010/11;Schulabgänger/-innen;Insgesamt;Anzahl;59;-;59;-;-;-;-;-;-;-;-;-;-;-
      Inden;2009/10;Schulabgänger/-innen;Insgesamt;Anzahl;55;-;55;-;-;-;-;-;-;-;-;-;-;-
      Inden;2008/09;Schulabgänger/-innen;Insgesamt;Anzahl;61;-;61;-;-;-;-;-;-;-;-;-;-;-
      Inden;2007/08;Schulabgänger/-innen;Insgesamt;Anzahl;98;-;98;-;-;-;-;-;-;-;-;-;-;-
      Inden;2006/07;Schulabgänger/-innen;Insgesamt;Anzahl;71;-;71;-;-;-;-;-;-;-;-;-;-;-
      Inden;2005/06;Schulabgänger/-innen;Insgesamt;Anzahl;98;-;98;-;-;-;-;-;-;-;-;-;-;-
      Inden;2004/05;Schulabgänger/-innen;Insgesamt;Anzahl;95;-;95;-;-;-;-;-;-;-;-;-;-;-
      Inden;2022/23;Lehrkräfte;Insgesamt;Anzahl;45;20;25;-;-;-;-;-;-;-;-;-;-;-
      Inden;2021/22;Lehrkräfte;Insgesamt;Anzahl;40;20;20;-;-;-;-;-;-;-;-;-;-;-
      Inden;2020/21;Lehrkräfte;Insgesamt;Anzahl;40;15;25;-;-;-;-;-;-;-;-;-;-;-
      Inden;2019/20;Lehrkräfte;Insgesamt;Anzahl;45;15;30;-;-;-;-;-;-;-;-;-;-;-
      Inden;2018/19;Lehrkräfte;Insgesamt;Anzahl;45;15;30;-;-;-;-;-;-;-;-;-;-;-
      Inden;2017/18;Lehrkräfte;Insgesamt;Anzahl;43;16;27;-;-;-;-;-;-;-;-;-;-;-
      Inden;2016/17;Lehrkräfte;Insgesamt;Anzahl;43;14;29;-;-;-;-;-;-;-;-;-;-;-
      Inden;2015/16;Lehrkräfte;Insgesamt;Anzahl;45;14;31;-;-;-;-;-;-;-;-;-;-;-
      Inden;2014/15;Lehrkräfte;Insgesamt;Anzahl;45;15;30;-;-;-;-;-;-;-;-;-;-;-
      Inden;2013/14;Lehrkräfte;Insgesamt;Anzahl;42;14;28;-;-;-;-;-;-;-;-;-;-;-
      Inden;2012/13;Lehrkräfte;Insgesamt;Anzahl;44;15;29;-;-;-;-;-;-;-;-;-;-;-
      Inden;2011/12;Lehrkräfte;Insgesamt;Anzahl;47;17;30;-;-;-;-;-;-;-;-;-;-;-
      Inden;2010/11;Lehrkräfte;Insgesamt;Anzahl;46;14;32;-;-;-;-;-;-;-;-;-;-;-
      Inden;2009/10;Lehrkräfte;Insgesamt;Anzahl;45;14;31;-;-;-;-;-;-;-;-;-;-;-
      Inden;2008/09;Lehrkräfte;Insgesamt;Anzahl;50;15;35;-;-;-;-;-;-;-;-;-;-;-
      Inden;2007/08;Lehrkräfte;Insgesamt;Anzahl;49;13;36;-;-;-;-;-;-;-;-;-;-;-
      Inden;2006/07;Lehrkräfte;Insgesamt;Anzahl;52;14;38;-;-;-;-;-;-;-;-;-;-;-
      Inden;2005/06;Lehrkräfte;Insgesamt;Anzahl;57;16;41;-;-;-;-;-;-;-;-;-;-;-
      Jülich, Stadt;2022/23;Schulen;Insgesamt;Anzahl;10;4;-;-;2;-;-;-;1;-;-;-;3;-
      Jülich, Stadt;2021/22;Schulen;Insgesamt;Anzahl;10;4;-;-;2;-;-;-;1;-;-;-;3;-
      Jülich, Stadt;2020/21;Schulen;Insgesamt;Anzahl;10;4;-;-;2;-;-;-;1;-;-;-;3;-
      Jülich, Stadt;2019/20;Schulen;Insgesamt;Anzahl;10;4;-;-;2;-;-;-;1;-;-;-;3;-
      Jülich, Stadt;2018/19;Schulen;Insgesamt;Anzahl;10;4;-;-;2;-;-;-;1;-;-;-;3;-
      Jülich, Stadt;2017/18;Schulen;Insgesamt;Anzahl;10;4;-;-;2;-;-;-;1;-;-;-;3;-
      Jülich, Stadt;2016/17;Schulen;Insgesamt;Anzahl;12;4;1;-;2;-;1;-;1;-;-;-;3;-
      Jülich, Stadt;2015/16;Schulen;Insgesamt;Anzahl;12;4;1;-;2;-;1;-;1;-;-;-;3;-
      Jülich, Stadt;2014/15;Schulen;Insgesamt;Anzahl;12;4;1;-;2;-;1;-;1;-;-;-;3;-
      Jülich, Stadt;2013/14;Schulen;Insgesamt;Anzahl;12;4;1;-;2;-;1;-;1;-;-;-;3;-
      Jülich, Stadt;2012/13;Schulen;Insgesamt;Anzahl;12;4;1;-;2;-;1;-;1;-;-;-;3;-
      Jülich, Stadt;2011/12;Schulen;Insgesamt;Anzahl;11;4;1;-;2;-;1;-;-;-;-;-;3;-
      Jülich, Stadt;2010/11;Schulen;Insgesamt;Anzahl;12;5;1;-;2;-;1;-;-;-;-;-;3;-
      Jülich, Stadt;2009/10;Schulen;Insgesamt;Anzahl;12;5;1;-;2;-;1;-;-;-;-;-;3;-
      Jülich, Stadt;2008/09;Schulen;Insgesamt;Anzahl;12;5;1;-;2;-;1;-;-;-;-;-;3;-
      Jülich, Stadt;2007/08;Schulen;Insgesamt;Anzahl;12;5;1;-;2;-;1;-;-;-;-;-;3;-
      Jülich, Stadt;2006/07;Schulen;Insgesamt;Anzahl;12;5;1;-;2;-;1;-;-;-;-;-;3;-
      Jülich, Stadt;2005/06;Schulen;Insgesamt;Anzahl;12;5;1;-;2;-;1;-;-;-;-;-;3;-
      Jülich, Stadt;2022/23;Schüler/-innen;Insgesamt;Anzahl;4545;1310;-;-;375;-;-;-;580;-;-;-;2275;-
      Jülich, Stadt;2021/22;Schüler/-innen;Insgesamt;Anzahl;4555;1245;-;-;360;-;-;-;620;-;-;-;2330;-
      Jülich, Stadt;2020/21;Schüler/-innen;Insgesamt;Anzahl;4650;1220;-;-;355;-;-;-;705;-;-;-;2370;-
      Jülich, Stadt;2019/20;Schüler/-innen;Insgesamt;Anzahl;4705;1195;-;-;350;-;-;-;790;-;-;-;2365;-
      Jülich, Stadt;2018/19;Schüler/-innen;Insgesamt;Anzahl;4760;1170;-;-;345;-;-;-;835;-;-;-;2415;-
      Jülich, Stadt;2017/18;Schüler/-innen;Insgesamt;Anzahl;4857;1195;-;-;364;-;-;-;852;-;-;-;2446;-
      Jülich, Stadt;2016/17;Schüler/-innen;Insgesamt;Anzahl;4953;1197;45;-;353;-;73;-;738;-;-;-;2547;-
      Jülich, Stadt;2015/16;Schüler/-innen;Insgesamt;Anzahl;4881;1161;95;-;349;-;147;-;596;-;-;-;2533;-
      Jülich, Stadt;2014/15;Schüler/-innen;Insgesamt;Anzahl;4919;1192;151;-;354;-;248;-;426;-;-;-;2548;-
      Jülich, Stadt;2013/14;Schüler/-innen;Insgesamt;Anzahl;4914;1153;188;-;368;-;343;-;289;-;-;-;2573;-
      Jülich, Stadt;2012/13;Schüler/-innen;Insgesamt;Anzahl;5134;1135;242;-;378;-;463;-;124;-;-;-;2792;-
      Jülich, Stadt;2011/12;Schüler/-innen;Insgesamt;Anzahl;5271;1190;333;-;384;-;557;-;-;-;-;-;2807;-
      Jülich, Stadt;2010/11;Schüler/-innen;Insgesamt;Anzahl;5395;1188;386;-;383;-;614;-;-;-;-;-;2824;-
      Jülich, Stadt;2009/10;Schüler/-innen;Insgesamt;Anzahl;5494;1256;437;-;354;-;606;-;-;-;-;-;2841;-
      Jülich, Stadt;2008/09;Schüler/-innen;Insgesamt;Anzahl;5659;1365;465;-;349;-;639;-;-;-;-;-;2841;-
      Jülich, Stadt;2007/08;Schüler/-innen;Insgesamt;Anzahl;5730;1363;485;-;342;-;706;-;-;-;-;-;2834;-
      Jülich, Stadt;2006/07;Schüler/-innen;Insgesamt;Anzahl;5859;1469;541;-;340;-;729;-;-;-;-;-;2780;-
      Jülich, Stadt;2005/06;Schüler/-innen;Insgesamt;Anzahl;5867;1487;585;-;336;-;749;-;-;-;-;-;2710;-
      Jülich, Stadt;2021/22;Schulabgänger/-innen;Insgesamt;Anzahl;500;-;-;-;25;-;-;-;145;-;-;-;325;-
      Jülich, Stadt;2020/21;Schulabgänger/-innen;Insgesamt;Anzahl;505;-;-;-;35;-;-;-;155;-;-;-;315;-
      Jülich, Stadt;2019/20;Schulabgänger/-innen;Insgesamt;Anzahl;485;-;-;-;30;-;-;-;135;-;-;-;325;-
      Jülich, Stadt;2018/19;Schulabgänger/-innen;Insgesamt;Anzahl;530;-;-;-;35;-;-;-;160;-;-;-;335;-
      Jülich, Stadt;2017/18;Schulabgänger/-innen;Insgesamt;Anzahl;490;-;-;-;35;-;-;-;125;-;-;-;325;-
      Jülich, Stadt;2016/17;Schulabgänger/-innen;Insgesamt;Anzahl;475;-;46;-;39;-;73;-;-;-;-;-;317;-
      Jülich, Stadt;2015/16;Schulabgänger/-innen;Insgesamt;Anzahl;467;-;46;-;35;-;72;-;-;-;-;-;314;-
      Jülich, Stadt;2014/15;Schulabgänger/-innen;Insgesamt;Anzahl;552;-;58;-;39;-;102;-;1;-;-;-;352;-
      Jülich, Stadt;2013/14;Schulabgänger/-innen;Insgesamt;Anzahl;489;-;44;-;40;-;80;-;-;-;-;-;325;-
      Jülich, Stadt;2012/13;Schulabgänger/-innen;Insgesamt;Anzahl;722;-;60;-;34;-;110;-;-;-;-;-;518;-
      Jülich, Stadt;2011/12;Schulabgänger/-innen;Insgesamt;Anzahl;545;-;67;-;29;-;96;-;-;-;-;-;353;-
      Jülich, Stadt;2010/11;Schulabgänger/-innen;Insgesamt;Anzahl;540;-;64;-;35;-;103;-;-;-;-;-;338;-
      Jülich, Stadt;2009/10;Schulabgänger/-innen;Insgesamt;Anzahl;580;-;104;-;31;-;80;-;-;-;-;-;365;-
      Jülich, Stadt;2008/09;Schulabgänger/-innen;Insgesamt;Anzahl;542;-;79;-;40;-;107;-;-;-;-;-;316;-
      Jülich, Stadt;2007/08;Schulabgänger/-innen;Insgesamt;Anzahl;580;-;107;-;37;-;127;-;-;-;-;-;309;-
      Jülich, Stadt;2006/07;Schulabgänger/-innen;Insgesamt;Anzahl;555;-;145;-;37;-;124;-;-;-;-;-;249;-
      Jülich, Stadt;2005/06;Schulabgänger/-innen;Insgesamt;Anzahl;525;-;123;-;29;-;115;-;-;-;-;-;258;-
      Jülich, Stadt;2004/05;Schulabgänger/-innen;Insgesamt;Anzahl;498;-;115;-;23;-;105;-;-;-;-;-;255;-
      Jülich, Stadt;2022/23;Lehrkräfte;Insgesamt;Anzahl;445;95;-;-;95;-;-;-;60;-;-;-;190;-
      Jülich, Stadt;2021/22;Lehrkräfte;Insgesamt;Anzahl;445;90;-;-;95;-;-;-;60;-;-;-;195;-
      Jülich, Stadt;2020/21;Lehrkräfte;Insgesamt;Anzahl;435;90;-;-;90;-;-;-;60;-;-;-;190;-
      Jülich, Stadt;2019/20;Lehrkräfte;Insgesamt;Anzahl;445;95;-;-;90;-;-;-;65;-;-;-;195;-
      Jülich, Stadt;2018/19;Lehrkräfte;Insgesamt;Anzahl;450;85;-;-;85;-;-;-;70;-;-;-;210;-
      Jülich, Stadt;2017/18;Lehrkräfte;Insgesamt;Anzahl;459;86;-;-;89;-;-;-;71;-;-;-;213;-
      Jülich, Stadt;2016/17;Lehrkräfte;Insgesamt;Anzahl;444;78;5;-;83;-;8;-;58;-;-;-;212;-
      Jülich, Stadt;2015/16;Lehrkräfte;Insgesamt;Anzahl;438;77;9;-;86;-;12;-;40;-;-;-;214;-
      Jülich, Stadt;2014/15;Lehrkräfte;Insgesamt;Anzahl;448;80;14;-;91;-;20;-;32;-;-;-;211;-
      Jülich, Stadt;2013/14;Lehrkräfte;Insgesamt;Anzahl;440;76;22;-;84;-;24;-;23;-;-;-;211;-
      Jülich, Stadt;2012/13;Lehrkräfte;Insgesamt;Anzahl;449;69;26;-;77;-;32;-;10;-;-;-;235;-
      Jülich, Stadt;2011/12;Lehrkräfte;Insgesamt;Anzahl;451;74;36;-;79;-;37;-;-;-;-;-;225;-
      Jülich, Stadt;2010/11;Lehrkräfte;Insgesamt;Anzahl;444;80;35;-;74;-;43;-;-;-;-;-;212;-
      Jülich, Stadt;2009/10;Lehrkräfte;Insgesamt;Anzahl;437;79;38;-;70;-;41;-;-;-;-;-;209;-
      Jülich, Stadt;2008/09;Lehrkräfte;Insgesamt;Anzahl;421;79;37;-;69;-;42;-;-;-;-;-;194;-
      Jülich, Stadt;2007/08;Lehrkräfte;Insgesamt;Anzahl;437;78;39;-;74;-;44;-;-;-;-;-;202;-
      Jülich, Stadt;2006/07;Lehrkräfte;Insgesamt;Anzahl;423;76;44;-;70;-;41;-;-;-;-;-;192;-
      Jülich, Stadt;2005/06;Lehrkräfte;Insgesamt;Anzahl;414;75;45;-;71;-;42;-;-;-;-;-;181;-
      Kreuzau;2022/23;Schulen;Insgesamt;Anzahl;5;3;-;-;-;-;-;-;1;-;-;-;1;-
      Kreuzau;2021/22;Schulen;Insgesamt;Anzahl;5;3;-;-;-;-;-;-;1;-;-;-;1;-
      Kreuzau;2020/21;Schulen;Insgesamt;Anzahl;5;3;-;-;-;-;-;-;1;-;-;-;1;-
      Kreuzau;2019/20;Schulen;Insgesamt;Anzahl;5;3;-;-;-;-;-;-;1;-;-;-;1;-
      Kreuzau;2018/19;Schulen;Insgesamt;Anzahl;5;3;-;-;-;-;-;-;1;-;-;-;1;-
      Kreuzau;2017/18;Schulen;Insgesamt;Anzahl;5;3;-;-;-;-;-;-;1;-;-;-;1;-
      Kreuzau;2016/17;Schulen;Insgesamt;Anzahl;6;3;-;-;-;-;1;-;1;-;-;-;1;-
      Kreuzau;2015/16;Schulen;Insgesamt;Anzahl;7;3;1;-;-;-;1;-;1;-;-;-;1;-
      Kreuzau;2014/15;Schulen;Insgesamt;Anzahl;8;3;1;-;1;-;1;-;1;-;-;-;1;-
      Kreuzau;2013/14;Schulen;Insgesamt;Anzahl;8;3;1;-;1;-;1;-;1;-;-;-;1;-
      Kreuzau;2012/13;Schulen;Insgesamt;Anzahl;9;4;1;-;1;-;1;-;1;-;-;-;1;-
      Kreuzau;2011/12;Schulen;Insgesamt;Anzahl;8;4;1;-;1;-;1;-;-;-;-;-;1;-
      Kreuzau;2010/11;Schulen;Insgesamt;Anzahl;8;4;1;-;1;-;1;-;-;-;-;-;1;-
      Kreuzau;2009/10;Schulen;Insgesamt;Anzahl;8;4;1;-;1;-;1;-;-;-;-;-;1;-
      Kreuzau;2008/09;Schulen;Insgesamt;Anzahl;8;4;1;-;1;-;1;-;-;-;-;-;1;-
      Kreuzau;2007/08;Schulen;Insgesamt;Anzahl;8;4;1;-;1;-;1;-;-;-;-;-;1;-
      Kreuzau;2006/07;Schulen;Insgesamt;Anzahl;8;4;1;-;1;-;1;-;-;-;-;-;1;-
      Kreuzau;2005/06;Schulen;Insgesamt;Anzahl;9;5;1;-;1;-;1;-;-;-;-;-;1;-
      Kreuzau;2022/23;Schüler/-innen;Insgesamt;Anzahl;1910;605;-;-;-;-;-;-;685;-;-;-;620;-
      Kreuzau;2021/22;Schüler/-innen;Insgesamt;Anzahl;1850;575;-;-;-;-;-;-;680;-;-;-;590;-
      Kreuzau;2020/21;Schüler/-innen;Insgesamt;Anzahl;1900;560;-;-;-;-;-;-;695;-;-;-;645;-
      Kreuzau;2019/20;Schüler/-innen;Insgesamt;Anzahl;1975;550;-;-;-;-;-;-;760;-;-;-;670;-
      Kreuzau;2018/19;Schüler/-innen;Insgesamt;Anzahl;2040;545;-;-;-;-;-;-;780;-;-;-;715;-
      Kreuzau;2017/18;Schüler/-innen;Insgesamt;Anzahl;2137;574;-;-;-;-;-;-;829;-;-;-;734;-
      Kreuzau;2016/17;Schüler/-innen;Insgesamt;Anzahl;2118;581;-;-;-;-;75;-;733;-;-;-;729;-
      Kreuzau;2015/16;Schüler/-innen;Insgesamt;Anzahl;2115;589;21;-;-;-;143;-;614;-;-;-;748;-
      Kreuzau;2014/15;Schüler/-innen;Insgesamt;Anzahl;2145;597;39;-;43;-;225;-;478;-;-;-;763;-
      Kreuzau;2013/14;Schüler/-innen;Insgesamt;Anzahl;2133;568;72;-;58;-;294;-;333;-;-;-;808;-
      Kreuzau;2012/13;Schüler/-innen;Insgesamt;Anzahl;2126;560;103;-;67;-;374;-;165;-;-;-;857;-
      Kreuzau;2011/12;Schüler/-innen;Insgesamt;Anzahl;2096;593;124;-;70;-;446;-;-;-;-;-;863;-
      Kreuzau;2010/11;Schüler/-innen;Insgesamt;Anzahl;2137;615;146;-;70;-;474;-;-;-;-;-;832;-
      Kreuzau;2009/10;Schüler/-innen;Insgesamt;Anzahl;2244;687;158;-;63;-;510;-;-;-;-;-;826;-
      Kreuzau;2008/09;Schüler/-innen;Insgesamt;Anzahl;2391;734;183;-;58;-;544;-;-;-;-;-;872;-
      Kreuzau;2007/08;Schüler/-innen;Insgesamt;Anzahl;2452;764;184;-;63;-;575;-;-;-;-;-;866;-
      Kreuzau;2006/07;Schüler/-innen;Insgesamt;Anzahl;2502;777;208;-;62;-;581;-;-;-;-;-;874;-
      Kreuzau;2005/06;Schüler/-innen;Insgesamt;Anzahl;2633;798;248;-;66;-;614;-;-;-;-;-;907;-
