Schulnummer,Schulname,Schulform,Adresse,PLZ,Gemeinde,lat,lon,source
109885,"Emmerich am Rhein, KG (Verb.) Regenbogen",Grundschule,"Georgstr., Georgstr. 2",46446,Emmerich am Rhein,51.84888960272967,6.202801881798715,ogc-api-nrw
109897,"Emmerich am Rhein, KG Leegmeerschule",Grundschule,"Hansastr., Hansastr. 56",46446,Emmerich am Rhein,51.839881155133135,6.255976758369764,ogc-api-nrw
109915,"Isselburg, GG (Verb.) Isselschule",Grundschule,"Drengfurter Str., Drengfurter Str. 13",46419,Isselburg,51.832802414854,6.466673813829234,ogc-api-nrw
109927,"Rees, GG Greisstraße",Grundschule,"Greisstr., Greisstr. 15",46459,Rees,51.76440315659615,6.395703085116965,ogc-api-nrw
109940,"Wesel, GG Am Quadenweg",Grundschule,"Schepersweg, Schepersweg 81-89",46485,Wesel,51.662202991604566,6.6408430915748875,ogc-api-nrw
109976,"Wesel, GG (Verb.) Theodor-Heuss-Schule",Grundschule,"Altrheinstr., Altrheinstr. 2",46487,Wesel,51.680637517946565,6.570646882017239,ogc-api-nrw
109988,"Wesel, GG Fusternberg",Grundschule,"An der Rundsporthalle, An der Rundsporthalle 7",46485,Wesel,51.65244767435125,6.632472828512514,ogc-api-nrw
110024,"Wesel, GG Konrad-Duden",Grundschule,"Nußbaumweg, Nußbaumweg 1",46485,Wesel,51.67156425570681,6.645737057660533,ogc-api-nrw
110036,"Wesel, GG am Buttendick",Grundschule,"Alexander-von-Humboldt-Str., Alexander-von-Humboldt-Str. 29",46485,Wesel,51.6602800703792,6.664310580926343,ogc-api-nrw
110061,"Hamminkeln, GG (Verb.) Mehrhoog",Grundschule,"Im Hogenbusch, Im Hogenbusch 15",46499,Hamminkeln,51.74348642269975,6.518773100772889,ogc-api-nrw
110085,"Rees, GG (Verb.) Lindenschule",Grundschule,"Motenhof, Motenhof 10",46459,Rees,51.77528491937274,6.455197416675678,ogc-api-nrw
110115,"Rees, KG St. Quirinus",Grundschule,"Hauptstr., Hauptstr. 31a",46459,Rees,51.80979852157479,6.39797524527788,ogc-api-nrw
110139,"Wesel, GG Blumenkamp",Grundschule,"Feuerdornstr., Feuerdornstr. 22",46487,Wesel,51.69407962369206,6.610387963457103,ogc-api-nrw
110140,"Hamminkeln, GG Hamminkeln",Grundschule,"Bislicher Str., Bislicher Str. 1",46499,Hamminkeln,51.73099196850727,6.587715904470126,ogc-api-nrw
110164,"Hamminkeln, GG Hermann-Landwehr-Schule",Grundschule,"Bergstr., Bergstr. 5",46499,Hamminkeln,51.72491490278983,6.676604244806165,ogc-api-nrw
110176,"Hünxe, GG Otto-Pankok-Schule",Grundschule,"Buschweg, Buschweg 5",46569,Hünxe,51.66104984156708,6.739464359353077,ogc-api-nrw
110188,"Schermbeck, GG (Verb.) Schermbeck",Grundschule,"Weseler Str., Weseler Str. 12",46514,Schermbeck,51.69000492157739,6.862254837315882,ogc-api-nrw
110206,"Leverkusen, GG Bergisch Neukirchen",Grundschule,"Wuppertalstr., Wuppertalstr. 10",51381,Leverkusen,51.08091674041481,7.0349090927334395,ogc-api-nrw
110220,"Burscheid, GG Montanusschule",Grundschule,"Höhestr., Höhestr. 50",51399,Burscheid,51.08301136257753,7.125744910115089,ogc-api-nrw
110231,"Burscheid, EG Ernst-Moritz-Arndt",Grundschule,"Schulstr., Schulstr. 16",51399,Burscheid,51.10340394240382,7.149175265040289,ogc-api-nrw
110243,"Burscheid, GG Dierath",Grundschule,"Dierath, Dierath 13",51399,Burscheid,51.085130657150486,7.079024109019292,ogc-api-nrw
110280,"Hückeswagen, GG Löwen-Grundschule",Grundschule,"Zum Sportzentrum, Zum Sportzentrum 15",42499,Hückeswagen,51.145583703348365,7.327120919094491,ogc-api-nrw
110309,"Langenfeld, GG Friedrich-Fröbel-Schule",Grundschule,"Fröbelstr., Fröbelstr. 15",40764,Langenfeld (Rheinland),51.10464099200455,6.950563191050473,ogc-api-nrw
110310,"Langenfeld, GG Götscher Weg",Grundschule,"Götscher Weg, Götscher Weg 64-66",40764,Langenfeld (Rheinland),51.13793809782141,6.952791320325088,ogc-api-nrw
110322,"Langenfeld, GG Wiescheid",Grundschule,"Parkstr., Parkstr. 54",40764,Langenfeld (Rheinland),51.13271689209796,6.990343643838109,ogc-api-nrw
110334,"Langenfeld, KG Don-Bosco",Grundschule,"Fröbelstr., Fröbelstr. 15",40764,Langenfeld (Rheinland),51.10464099200455,6.950563191050473,ogc-api-nrw
110346,"Langenfeld, KG Christopherus-Schule",Grundschule,"Fahlerweg, Fahlerweg 25-27",40764,Langenfeld (Rheinland),51.1158206593309,6.959341833322309,ogc-api-nrw
110358,"Langenfeld, GG Am Brückentor",Grundschule,"Am Brückentor, Am Brückentor 6-8",40764,Langenfeld (Rheinland),51.12009963731951,6.971113988397612,ogc-api-nrw
110360,"Langenfeld, KG Paulus",Grundschule,"Treibstr., Treibstr. 34",40764,Langenfeld (Rheinland),51.11454233295466,6.928592517858911,ogc-api-nrw
110383,"Langenfeld, GG (Verb.) Richrath-Mitte",Grundschule,"Jahnstr., Jahnstr. 113",40764,Langenfeld (Rheinland),51.12381859939478,6.946656024276246,ogc-api-nrw
110395,"Langenfeld, GG Erich Kästner-Schule",Grundschule,"Fahlerweg, Fahlerweg 25-27",40764,Langenfeld (Rheinland),51.1158206593309,6.959341833322309,ogc-api-nrw
110401,"Langenfeld, GG Peter-Härtling-Schule",Grundschule,"Gieslenberger Str., Gieslenberger Str. 51-53",40764,Langenfeld (Rheinland),51.08703954850529,6.963365067071128,ogc-api-nrw
110425,"Leichlingen, GG Am Büscherhof",Grundschule,"Am Hammer, Am Hammer 8",42799,Leichlingen (Rheinland),51.10946007863029,7.011397019360536,ogc-api-nrw
110437,"Leichlingen, KG Kirchstr.",Grundschule,"Kirchstr., Kirchstr. 29",42799,Leichlingen (Rheinland),51.10799157654726,7.018660295617546,ogc-api-nrw
